,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
73,Kumul,0,CN,1604724955,34,42.8,93.45,53.83,5.37
74,Atar,100,MR,1604724956,24,20.52,-13.05,80.98,5.44
75,Tocopilla,13,CL,1604724957,62,-22.09,-70.2,60.53,3.62
76,Vao,0,NC,1604724958,79,-22.67,167.48,75.6,13.2
77,Palana,99,RU,1604724959,98,59.12,159.97,25.88,6.82
78,Lebu,0,CL,1604724960,83,-37.62,-73.65,51.42,20.0
79,Arrondissement de Saint-Denis,34,FR,1604724962,93,48.92,2.33,48.2,5.82
80,Johnstown,1,US,1604724963,50,40.33,-78.92,55.4,8.05
81,Najrān,0,SA,1604724964,30,17.49,44.13,59.0,1.39
82,Salalah,0,OM,1604724965,43,17.02,54.09,78.53,2.57
83,Pendleton,90,US,1604724966,100,45.67,-118.79,41.0,3.36
84,Mogadouro,100,PT,1604724967,96,41.34,-6.71,49.19,4.05
85,Lumphat,31,KH,1604724968,70,13.49,106.98,85.93,5.59
86,High Rock,100,BS,1604724970,78,26.62,-78.28,78.62,23.2
87,Kindu,100,CD,1604724971,97,-2.95,25.95,71.15,1.86
88,Port Hedland,0,AU,1604724972,24,-20.32,118.57,100.4,20.8
89,Embonas,20,GR,1604724973,60,36.23,27.86,68.0,3.36
90,Manzhouli,91,CN,1604724690,92,49.6,117.43,26.01,21.88
91,Codrington,34,AU,1604724976,63,-38.27,141.97,55.38,14.03
92,Batticaloa,17,LK,1604724977,65,7.71,81.69,86.2,9.04
93,San Rafael,12,AR,1604724978,64,-34.62,-68.33,62.38,14.09
94,Arraial do Cabo,60,BR,1604724979,75,-22.97,-42.03,69.93,6.71
95,Manga,2,BF,1604724980,20,11.66,-1.07,74.14,8.23
96,Chui,94,UY,1604724981,93,-33.7,-53.46,60.55,6.82
97,Adré,2,TD,1604724982,28,13.47,22.2,66.4,15.3
98,Puerto Colombia,20,CO,1604724984,100,10.99,-74.95,75.2,3.36
99,Churapcha,99,RU,1604724985,88,62.0,132.43,-4.49,1.68
100,Luziânia,75,BR,1604724986,88,-16.25,-47.95,69.8,8.05
101,Mandurah,0,AU,1604724829,36,-32.55,115.7,84.0,6.93
102,Sørland,100,NO,1604724988,85,67.67,12.69,43.72,38.65
103,Clyde River,90,CA,1604724989,78,70.47,-68.59,8.6,17.22
104,Torbay,90,CA,1604724990,93,47.67,-52.73,54.0,24.16
105,Requena,100,ES,1604724992,96,39.49,-1.1,51.01,1.01
106,Riohacha,93,CO,1604724993,88,11.54,-72.91,76.73,3.71
107,Tondano,40,ID,1604724994,70,1.3,124.91,86.0,8.05
108,Shimanovsk,100,RU,1604724995,96,52.0,127.7,28.26,4.81
109,Viedma,0,AR,1604724996,91,-40.81,-63.0,48.99,5.17
110,East London,40,ZA,1604724997,87,-33.02,27.91,60.8,3.36
111,Olden,100,NO,1604724999,96,61.84,6.81,45.0,1.99
112,Marquette,1,US,1604725000,66,46.53,-87.63,55.4,6.93
113,Bethel,1,US,1604725001,93,41.37,-73.41,57.0,5.86
114,Port Lincoln,13,AU,1604725002,62,-34.73,135.87,62.31,14.79
115,Mar del Plata,0,AR,1604724989,93,-38.0,-57.56,60.01,3.36
116,Mackenzie,90,CA,1604725004,79,55.3,-123.17,26.6,6.93
117,Pochutla,100,MX,1604725005,87,15.74,-96.47,75.99,3.22
118,Atuona,84,PF,1604725007,77,-9.8,-139.03,78.53,19.39
119,Albany,25,US,1604725008,56,42.6,-73.97,54.0,3.98
120,Paamiut,100,GL,1604725009,88,61.99,-49.67,33.8,26.15
121,Padang,92,ID,1604725010,68,-0.95,100.35,84.42,5.37
122,Ostrovnoy,97,RU,1604725011,88,68.05,39.51,36.86,20.18
123,Hithadhoo,89,MV,1604725012,67,-0.6,73.08,83.93,4.16
124,Makīnsk,100,KZ,1604725013,55,52.63,70.42,36.14,15.66
125,Sur,23,OM,1604725015,63,22.57,59.53,80.6,5.44
126,Nabire,42,ID,1604724906,56,-3.37,135.48,90.07,5.66
127,Kedrovyy,100,RU,1604725017,99,56.17,91.82,37.4,8.95
128,Kānt,0,IN,1604724855,23,27.8,79.8,77.43,5.08
129,Muroto-misakicho,75,JP,1604725019,94,33.28,134.15,69.8,4.7
130,Upernavik,0,GL,1604725020,80,72.79,-56.15,-4.83,12.86
131,Beringovskiy,75,RU,1604725022,90,63.05,179.32,31.21,15.88
132,Qaqortoq,75,GL,1604725023,86,60.72,-46.03,30.2,9.17
133,Kieta,95,PG,1604725024,74,-6.22,155.63,82.69,3.36
134,Hässleholm,60,SE,1604725025,93,56.16,13.77,48.2,3.36
135,Margate,1,GB,1604725026,81,51.38,1.39,51.01,1.01
136,Nicoya,86,CR,1604725027,93,10.15,-85.45,71.67,3.36
137,Saint George,1,US,1604724993,24,37.1,-113.58,71.6,13.87
138,Jamestown,1,US,1604724845,58,42.1,-79.24,53.6,8.05
139,Verkhniye Tatyshly,100,RU,1604725031,94,56.29,55.86,37.2,8.88
140,Balakhninskiy,98,RU,1604725032,86,58.01,114.28,7.41,5.35
141,Cidreira,2,BR,1604725033,85,-30.18,-50.21,66.87,16.06
142,Yichun,100,CN,1604725034,84,47.7,128.9,33.69,10.2
143,Narsaq,75,GL,1604725035,86,60.92,-46.05,30.2,9.17
144,City of San Pedro,75,PH,1604725036,74,14.35,121.02,87.01,6.93
145,Mapiripán,73,CO,1604725037,93,2.89,-72.13,74.77,2.51
146,Garissa,70,KE,1604725039,68,-0.45,39.64,78.89,13.4
147,Kabo,96,CF,1604725040,74,7.7,18.63,71.4,3.83
148,Bathsheba,75,BB,1604725041,88,13.22,-59.52,80.6,18.34
149,Yanam,20,IN,1604725042,74,16.73,82.22,84.2,9.17
150,La Seyne-sur-Mer,29,FR,1604725043,73,43.1,5.88,62.01,11.99
151,Bengkulu,18,ID,1604725045,67,-3.8,102.27,84.74,9.13
152,Cape Town,75,ZA,1604724795,93,-33.93,18.42,61.0,13.87
153,Ilulissat,100,GL,1604725010,51,69.22,-51.1,14.0,21.92
154,Mossamedes,43,AO,1604725027,64,-15.2,12.15,70.07,6.46
155,Rybinsk,98,RU,1604725049,82,58.04,38.84,43.63,14.92
156,Tura,0,IN,1604725050,53,25.52,90.22,79.75,1.01
157,Apac,99,UG,1604725052,95,1.98,32.54,67.89,1.34
158,Jalu,2,LY,1604725053,77,29.03,21.55,59.04,6.89
159,Gorontalo,98,ID,1604725054,62,0.54,123.06,87.57,4.7
160,Skellefteå,57,SE,1604725055,81,64.75,20.95,50.0,13.87
161,Riyadh,0,SA,1604724793,36,24.69,46.72,64.4,3.36
162,Marsh Harbour,100,BS,1604725057,78,26.54,-77.06,78.33,23.15
163,Tuatapere,100,NZ,1604725059,90,-46.13,167.68,44.85,7.52
164,Puerto del Rosario,0,ES,1604725060,72,28.5,-13.86,66.2,5.82
165,Palmer,40,US,1604725055,93,42.16,-72.33,48.2,5.82
166,Srednekolymsk,100,RU,1604725020,92,67.45,153.68,-3.78,6.26
167,Cabo San Lucas,0,MX,1604725063,82,22.89,-109.91,75.99,4.94
168,Palauig,87,PH,1604725064,73,15.44,119.9,85.01,6.13
169,Hermanus,5,ZA,1604725065,83,-34.42,19.23,55.0,18.05
170,Ayan,95,RU,1604725066,84,56.45,138.17,19.22,15.26
171,Russell,1,US,1604725068,72,32.35,-85.2,66.2,7.63
172,Lawrenceburg,1,US,1604725069,87,38.04,-84.9,52.0,3.6
173,Berlevåg,69,NO,1604725070,70,70.86,29.09,40.8,25.5
174,Souillac,75,MU,1604725071,69,-20.52,57.52,77.0,11.41
175,Mocuba,97,MZ,1604725072,34,-16.84,36.99,84.36,6.98
176,Nishihara,90,JP,1604725073,94,26.18,127.76,82.4,9.17
177,Turbat,0,PK,1604725074,19,26.0,63.04,84.31,3.98
178,Iqaluit,20,CA,1604725075,70,63.75,-68.51,-2.0,20.8
179,Seidu,70,SL,1604725077,98,9.02,-10.6,66.92,1.34
180,Zhangye,0,CN,1604725078,29,38.93,100.45,54.64,2.04
181,Port-Cartier,85,CA,1604725079,93,50.03,-66.87,35.6,10.33
182,Pisco,90,PE,1604724856,82,-13.7,-76.22,64.4,11.41
183,Coquimbo,1,CL,1604725018,93,-29.95,-71.34,53.6,4.7
184,Bambous Virieux,75,MU,1604724907,69,-20.34,57.76,78.01,11.41
185,Yumen,0,CN,1604725083,27,40.28,97.2,55.47,13.4
186,Kingsport,1,US,1604724982,81,36.55,-82.56,48.0,3.31
187,Moshenskoye,74,RU,1604725086,80,58.51,34.59,43.92,11.32
188,Madimba,40,TZ,1604724844,88,-10.4,40.33,75.2,7.9
189,Omsukchan,100,RU,1604725088,91,62.53,155.8,3.36,5.06
190,Yaring,20,TH,1604725089,78,6.87,101.37,82.4,5.82
191,Petauke,80,ZM,1604725090,35,-14.24,31.33,77.49,9.73
192,Pitimbu,40,BR,1604724950,94,-7.47,-34.81,75.2,4.7
193,Lukovetskiy,90,RU,1604725093,93,64.3,41.92,37.4,6.71
194,Ust-Nera,99,RU,1604725094,85,64.57,143.2,0.43,4.47
195,Carnarvon,90,AU,1604725017,69,-24.87,113.63,77.0,19.46
196,Dosso,0,NE,1604725096,28,13.05,3.19,73.74,7.54
197,Matamoros,0,MX,1604725097,48,25.53,-103.25,58.14,4.52
198,Tessalit,13,ML,1604725098,23,20.2,1.01,69.51,12.39
199,São João da Barra,95,BR,1604725099,85,-21.64,-41.05,69.17,8.57
200,Leer,88,SS,1604725101,55,8.3,30.14,74.84,2.51
201,Tupik,99,RU,1604725102,86,54.43,119.93,21.07,11.23
202,Metro,85,ID,1604725103,57,-5.11,105.31,88.5,6.11
203,Barrow,90,US,1604725104,80,71.29,-156.79,33.8,23.04
204,Batagay,78,RU,1604725058,83,67.63,134.63,-22.95,0.67
205,Prainha,64,BR,1604725106,87,-1.8,-53.48,75.27,4.03
206,Thinadhoo,100,MV,1604725107,66,0.53,72.93,83.32,1.59
207,Kirishi,11,RU,1604725109,82,59.45,32.02,45.0,8.66
208,Katsuura,75,JP,1604725110,82,35.13,140.3,70.0,3.36
209,Coyhaique,0,CL,1604725111,75,-45.58,-72.07,46.4,5.03
210,Mahébourg,75,MU,1604724907,69,-20.41,57.7,77.0,11.41
211,Iskateley,100,RU,1604725113,98,67.68,53.15,34.05,2.3
212,Kenai,90,US,1604725114,85,60.55,-151.26,25.0,6.93
213,Christchurch,100,NZ,1604725115,87,-43.53,172.63,60.01,9.17
214,Dikson,0,RU,1604725117,89,73.51,80.55,-0.26,6.46
215,Sinnamary,100,GF,1604725118,88,5.38,-52.95,77.2,9.93
216,College,90,US,1604725119,92,64.86,-147.8,30.0,5.84
217,Muros,40,ES,1604725120,87,42.78,-9.06,52.0,11.41
218,Aginskoye,54,RU,1604725121,83,51.1,114.53,22.33,23.4
219,Mahon,61,ES,1604725104,88,39.89,4.27,66.2,18.34
220,Emba,100,KZ,1604725086,85,48.83,58.14,46.49,14.56
221,Ponorogo,32,ID,1604725124,42,-7.87,111.46,92.34,4.25
222,Karratha,0,AU,1604725126,21,-20.74,116.85,95.22,21.61
223,Örnsköldsvik,18,SE,1604725127,81,63.29,18.72,46.4,13.87
224,Maamba,0,ZM,1604725128,29,-17.37,27.15,85.44,4.38
225,Comodoro Rivadavia,0,AR,1604725116,75,-45.87,-67.5,46.4,14.54
226,Makakilo City,20,US,1604724888,65,21.35,-158.09,80.6,4.7
227,Flagstaff,90,US,1604725132,34,35.2,-111.65,55.0,12.75
228,Corinth,40,GR,1604725133,59,37.94,22.96,60.8,16.11
229,Avarua,50,CK,1604725018,83,-21.21,-159.78,75.2,5.82
230,Lüderitz,0,NA,1604725135,70,-26.65,15.16,60.53,3.71
231,Port Hawkesbury,90,CA,1604725091,87,45.62,-61.35,53.6,9.17
232,Kaitangata,79,NZ,1604725137,72,-46.28,169.85,50.0,5.01
233,Kantunilkín,75,MX,1604725138,88,21.09,-87.45,78.8,6.93
234,Half Moon Bay,90,US,1604725140,71,37.46,-122.43,53.6,4.7
235,Minggang,0,CN,1604725141,20,32.46,114.05,74.19,9.89
236,Biltine,3,TD,1604725142,25,14.53,20.92,70.25,13.11
237,Isangel,75,VU,1604725088,62,-19.55,169.27,87.8,2.8
238,Maniitsoq,99,GL,1604725144,88,65.42,-52.9,22.57,5.21
239,Bubaque,24,GW,1604725145,75,11.28,-15.83,83.34,15.28
240,Mercedes,94,AR,1604725146,71,-34.65,-59.43,66.0,5.01
241,Shiyan,75,CN,1604725147,27,32.65,110.78,71.82,10.33
242,Mount Gambier,40,AU,1604725050,51,-37.83,140.77,62.6,17.22
243,Parnarama,89,BR,1604725150,94,-5.68,-43.09,72.23,2.89
244,Padilla,40,CO,1604725151,77,3.22,-76.31,68.0,5.82
245,Dingle,100,PH,1604725152,89,11.0,122.67,77.13,13.6
246,Solnechnyy,74,RU,1604725153,85,50.72,136.63,28.02,3.2
247,Agadez,0,NE,1604725154,43,19.75,10.25,60.37,9.84
248,Yangi Marg`ilon,10,UZ,1604725156,16,40.43,71.72,57.2,2.24
249,Port Hardy,75,CA,1604725157,69,50.7,-127.42,42.8,18.34
250,Saldanha,26,ZA,1604725158,93,-33.01,17.94,57.2,6.93
251,Balkhash,0,KZ,1604725159,41,46.84,74.98,39.2,8.95
252,Lompoc,1,US,1604724894,71,34.64,-120.46,53.6,9.17
253,Caravelas,100,BR,1604725062,94,-17.71,-39.25,71.06,2.8
254,Umm Hājar,3,TD,1604725162,24,13.3,19.7,73.09,8.61
255,Honningsvåg,49,NO,1604725163,66,70.98,25.97,42.1,27.96
256,Yuci,0,CN,1604725165,12,37.68,112.73,60.8,15.66
257,Athabasca,33,CA,1604725166,85,54.72,-113.29,21.2,4.7
258,Wahiawā,20,US,1604725167,73,21.5,-158.02,80.6,10.29
259,Kushima,75,JP,1604725168,78,31.46,131.23,75.2,1.12
260,San Patricio,20,US,1604725024,93,28.02,-97.52,70.0,5.82
261,Aksarka,100,RU,1604725170,99,66.56,67.8,31.68,5.73
262,Mizdah,11,LY,1604725172,91,31.45,12.98,50.65,2.01
263,Pevek,100,RU,1604725173,95,69.7,170.31,19.08,11.01
264,Corn Island,98,NI,1604725174,74,12.17,-83.04,81.88,4.65
265,Qingdao,0,CN,1604725175,32,36.1,120.37,68.0,8.95
266,Safi,0,MA,1604725057,85,32.3,-9.24,65.91,15.84
267,Mpongwe,0,ZM,1604725177,35,-13.51,28.16,71.91,5.1
268,Vågåmo,21,NO,1604725178,75,61.88,9.1,39.65,2.37
269,Kailua,75,US,1604725180,74,21.4,-157.74,80.6,12.75
270,Pāvilosta,1,LV,1604725181,93,56.89,21.19,51.8,10.29
271,St. Pete Beach,20,US,1604725182,94,27.73,-82.74,73.99,14.99
272,Chapais,90,CA,1604725183,86,49.78,-74.85,37.4,12.75
273,Lafia,80,NG,1604725184,50,8.48,8.52,72.79,2.3
274,Otofuke,75,JP,1604725185,39,42.99,143.2,66.2,8.05
275,Hirado,75,JP,1604725186,94,33.36,129.55,69.01,6.93
276,Ocós,100,GT,1604725187,97,14.51,-92.19,69.01,1.01
277,Burla,0,IN,1604725188,44,21.5,83.87,77.0,2.24
278,Maningrida,71,AU,1604725190,46,-12.07,134.27,92.66,13.85
279,Itarema,100,BR,1604725191,81,-2.92,-39.92,79.25,14.0
280,Magadan,97,RU,1604725192,86,59.57,150.8,13.93,13.6
281,Manicoré,47,BR,1604725193,95,-5.81,-61.3,72.82,1.72
282,Wanning,0,CN,1604725095,65,18.8,110.4,82.18,11.86
283,Petrozavodsk,0,RU,1604724933,76,61.78,34.35,42.8,8.95
284,Saint-Augustin,93,CA,1604725196,97,51.23,-58.65,41.25,10.69
285,Malanville,0,BJ,1604725197,35,11.87,3.39,71.56,3.91
286,Port Elizabeth,0,ZA,1604725199,93,-33.92,25.57,57.2,3.36
287,Ola,98,RU,1604725200,86,59.58,151.28,14.61,13.71
288,Ancud,99,CL,1604725067,81,-41.87,-73.82,46.0,14.99
289,Parabel',100,RU,1604725203,98,58.7,81.48,39.11,10.38
290,Mehamn,57,NO,1604725034,72,71.04,27.85,39.85,25.03
291,Dandong,1,CN,1604725215,32,40.13,124.39,60.19,14.27
292,Benghazi,44,LY,1604725217,71,32.12,20.07,67.32,14.36
293,Ust-Kuyga,95,RU,1604725218,85,70.02,135.6,-24.36,4.99
294,Yulara,19,AU,1604725219,9,-25.24,130.99,91.4,10.29
295,Ahipara,87,NZ,1604725220,89,-35.17,173.17,64.98,15.08
296,Artyom,90,AZ,1604725222,87,40.47,50.33,57.2,6.93
297,Chokurdakh,100,RU,1604725030,94,70.63,147.92,2.5,8.7
298,Burley,1,US,1604725224,43,42.54,-113.79,51.8,3.36
299,Deputatsky,22,RU,1604725225,92,69.3,139.9,-10.17,2.44
300,Thaba-Tseka,8,LS,1604725227,47,-29.52,28.61,58.46,13.78
301,Saint Anthony,1,US,1604725228,55,45.02,-93.22,64.99,16.11
302,Bandarbeyla,21,SO,1604725229,68,9.49,50.81,77.47,10.42
303,Kamenka,40,RU,1604725230,94,51.32,42.77,36.0,11.59
304,Shakawe,0,BW,1604725232,34,-18.37,21.85,80.22,4.74
305,Andenes,100,NO,1604725233,86,69.31,16.12,39.2,16.11
306,Esperance,90,AU,1604725024,72,-33.87,121.9,62.6,14.99
307,Severo-Kuril'sk,85,RU,1604725236,81,50.68,156.12,36.09,6.58
308,San Pedro de Macorís,75,DO,1604725237,94,18.46,-69.3,75.99,4.7
309,Shakhovskaya,100,RU,1604725238,84,56.03,35.51,46.13,14.58
310,Kidal,0,ML,1604725240,24,18.44,1.41,68.36,11.9
311,Gandai,0,IN,1604725241,28,21.67,81.1,79.18,7.23
312,Esim,82,GH,1604725242,89,4.87,-2.24,78.28,7.36
313,Setermoen,100,NO,1604725243,86,68.86,18.35,37.4,11.41
314,Mendi,91,PG,1604725245,100,-6.18,143.65,59.7,1.95
315,Nchelenge,18,ZM,1604725246,83,-9.35,28.73,74.25,6.11
316,Beya,100,RU,1604725247,86,53.05,90.91,40.55,15.08
317,Mikhaylovka,20,RU,1604725248,92,50.06,43.24,37.99,5.99
318,Borogontsy,87,RU,1604725250,88,62.67,131.17,-3.21,2.95
319,Polignano a Mare,40,IT,1604725251,93,41.0,17.22,53.6,5.82
320,San Jose,40,US,1604725035,58,37.34,-121.89,53.6,6.93
321,Palmerston,20,AU,1604725253,46,-12.49,130.98,93.99,10.29
322,Krasnosel'kup,100,RU,1604725008,98,65.7,82.47,32.2,10.16
323,Ojinaga,1,MX,1604725256,35,29.57,-104.42,71.6,11.41
324,Sisimiut,100,GL,1604725258,80,66.94,-53.67,13.15,11.59
325,Kota Kinabalu,20,MY,1604725259,66,5.97,116.07,89.6,6.93
326,Norman Wells,90,CA,1604725260,92,65.28,-126.83,10.4,2.24
327,Ushtobe,0,KZ,1604725261,33,45.25,77.98,54.66,1.81
328,Havelock,1,US,1604725040,93,34.88,-76.9,64.4,8.05
329,Bandar-e Lengeh,3,IR,1604725264,73,26.56,54.88,75.2,6.93
330,Westport,1,US,1604725265,87,41.14,-73.36,57.0,5.82
331,Bemidji,1,US,1604725266,81,47.47,-94.88,42.8,4.32
332,Te Anau,100,NZ,1604725267,77,-45.42,167.72,47.82,7.09
333,Hamilton,1,US,1604725268,93,39.18,-84.53,55.0,3.31
334,Teknāf,0,BD,1604725270,55,20.86,92.31,83.26,3.47
335,Yefremov,99,RU,1604725271,84,53.15,38.1,38.8,14.63
336,Leningradskiy,100,RU,1604725272,97,69.38,178.42,26.69,18.68
337,Amuntai,8,ID,1604725273,42,-2.42,115.25,97.95,1.21
338,Bālāghāt,0,IN,1604725275,32,21.8,80.18,79.32,2.26
339,Ca Mau,23,VN,1604725276,65,9.18,105.15,87.66,6.4
340,Mitsamiouli,1,KM,1604725277,72,-11.38,43.28,80.17,11.97
341,Vanimo,86,PG,1604725278,71,-2.67,141.3,84.06,8.75
342,Safaga,87,EG,1604725279,47,26.73,33.94,72.05,4.36
343,Opuwo,67,NA,1604725281,26,-18.06,13.84,66.29,2.26
344,Plácido de Castro,98,BR,1604725282,75,-10.34,-67.19,75.04,1.12
345,Gizo Government Station,68,SB,1604725283,67,-8.1,156.84,85.3,3.49
346,Châlons-en-Champagne,0,FR,1604725284,87,48.95,4.37,48.2,10.29
347,Bela Vista,0,BR,1604725286,45,-22.11,-56.52,70.39,3.76
348,Tual,38,ID,1604725287,73,-5.67,132.75,83.19,12.8
349,Yoichi,75,JP,1604725288,45,43.2,140.77,64.4,11.41
350,Alofi,24,NU,1604725289,69,-19.06,-169.92,78.8,13.87
351,The Pas,90,CA,1604725290,92,53.83,-101.25,17.6,4.7
352,Vestmannaeyjar,99,IS,1604725291,67,63.44,-20.27,42.08,11.03
353,Walvis Bay,0,NA,1604725293,87,-22.96,14.51,59.0,8.05
354,Ust'-Omchug,97,RU,1604725294,90,61.15,149.63,2.41,8.63
355,Maragogi,73,BR,1604725295,87,-9.01,-35.22,76.84,8.59
356,Kinkala,20,CG,1604725296,94,-4.36,14.76,71.6,3.36
357,San Quintín,43,MX,1604725298,80,30.48,-115.95,65.61,5.91
358,Kruisfontein,95,ZA,1604725299,85,-34.0,24.73,62.01,1.01
359,Evanston,40,US,1604725048,59,42.04,-87.69,63.0,10.29
360,Onega,98,RU,1604725301,81,63.91,38.14,40.33,16.8
361,Yar-Sale,100,RU,1604725302,99,66.83,70.83,29.1,6.93
362,Kaoma,56,ZM,1604725303,43,-14.78,24.8,76.12,5.82
363,Maseru,41,LS,1604725304,42,-29.32,27.48,64.99,3.74
364,Itupiranga,100,BR,1604725306,95,-5.13,-49.33,70.97,3.31
365,Sivaki,100,RU,1604725307,98,52.63,126.75,26.96,7.49
366,Raja,99,SS,1604725308,48,8.46,25.68,71.94,3.11
367,Ranong,75,TH,1604725309,70,9.97,98.63,87.8,6.93
368,Lakes Entrance,51,AU,1604725310,54,-37.88,147.98,60.01,5.01
369,Cayenne,0,GF,1604725061,100,4.93,-52.33,75.2,1.12
370,Kuching,40,MY,1604725313,88,1.55,110.33,80.6,2.24
371,Homer,1,US,1604725314,86,59.64,-151.55,37.99,3.36
372,Hollola,0,FI,1604725315,95,61.05,25.43,39.99,7.99
373,Talnakh,40,RU,1604725316,78,69.49,88.4,12.2,13.42
